ParticipantID                       , ParticipantIdentifier, MessageID                           , EmailType, TemplateName          , ToEmailAddress   , SenderEmailAddress    , ContentVersion, Subject        , DeliveryRecipient, DeliveryTimestamp
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 944603ff-b35b-4b28-991e-2a7fb9df28af, Reminder , 3M_SURVEY_REMINDER_1  , p0001@example.org, study-team@example.org,              1, Survey reminder, p0001@example.org, 2025-05-17T18:17:10Z
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , a6daac01-4b7f-4eb7-a786-e61664ef7df9, Reminder , 3M_SURVEY_REMINDER_2  , p0001@example.org, study-team@example.org,              2, Survey reminder, p0001@example.org, 2025-05-18T18:17:10Z
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 31037711-a86c-4385-a867-acf1b18e33a9, Reminder , 24H_SURVEY_REMINDER_1 , p0002@example.org, study-team@example.org,              2, Survey reminder, p0002@example.org, 2025-05-05T13:49:10Z
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 0dd44185-0459-4e96-a707-eab23721d3ae, Reminder , 4_6M_SURVEY_REMINDER_1, p0002@example.org, study-team@example.org,              5, Survey reminder, p0002@example.org, 2025-09-04T13:49:10Z
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 4e69b66c-bef6-409a-840b-3bbde0a2a6ab, Reminder , 4_6M_SURVEY_REMINDER_2, p0002@example.org, study-team@example.org,              1, Survey reminder, p0002@example.org, 2025-09-05T13:49:10Z
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 232fa2fb-08b4-4544-8cac-da865c853361, Reminder , 3M_SURVEY_REMINDER_1  , p0003@example.org, study-team@example.org,              2, Survey reminder, p0003@example.org, 2025-10-13T15:47:40Z
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 54440405-06db-49a1-9263-a30d13c5352c, Reminder , 3M_SURVEY_REMINDER_2  , p0003@example.org, study-team@example.org,              1, Survey reminder, p0003@example.org, 2025-10-14T15:47:40Z
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , c24b32ac-4778-4884-9b0a-4523dc2d0abe, Reminder , 3M_SURVEY_REMINDER_3  , p0003@example.org, study-team@example.org,              2, Survey reminder, p0003@example.org, 2025-10-15T15:47:40Z
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 3518b764-413a-4ae9-9032-6fb3c84dd0a2, Reminder , 7D_SURVEY_REMINDER_1  , p0004@example.org, study-team@example.org,              4, Survey reminder, p0004@example.org, 2025-07-26T06:32:30Z
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 96aed02d-3b46-40e7-9006-4e89e6a02e00, Reminder , 1M_SURVEY_REMINDER_1  , p0005@example.org, study-team@example.org,              1, Survey reminder, p0005@example.org, 2025-10-09T20:19:57Z
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2599447f-8d98-4115-b2e2-d332b896b6a8, Reminder , 3M_SURVEY_REMINDER_1  , p0005@example.org, study-team@example.org,              5, Survey reminder, p0005@example.org, 2025-12-08T21:19:57Z
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , a01d290c-70a7-4ab0-b2c2-70781b817a5c, Reminder , 3M_SURVEY_REMINDER_2  , p0005@example.org, study-team@example.org,              1, Survey reminder, p0005@example.org, 2025-12-09T21:19:57Z
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , b37f7767-3c5e-46cc-85e1-2c8a5bcc234c, Reminder , 3M_SURVEY_REMINDER_3  , p0005@example.org, study-team@example.org,              2, Survey reminder, p0005@example.org, 2025-12-10T21:19:57Z
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 5b8ec240-9948-4498-9e08-f04548225624, Reminder , 24H_SURVEY_REMINDER_1 , p0006@example.org, study-team@example.org,              5, Survey reminder, p0006@example.org, 2025-12-01T12:47:41Z
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 5f3ec3fa-aa95-4c77-8fee-613f6ec22e2b, Reminder , 24H_SURVEY_REMINDER_2 , p0006@example.org, study-team@example.org,              4, Survey reminder, p0006@example.org, 2025-12-02T12:47:41Z
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , c11ff772-571d-4aac-94e0-db7f9e938756, Reminder , 3M_SURVEY_REMINDER_1  , p0006@example.org, study-team@example.org,              4, Survey reminder, p0006@example.org, 2026-03-01T12:47:41Z
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 63ba5ae1-52b0-4469-8803-079b0f3ab74f, Reminder , 24H_SURVEY_REMINDER_1 , p0007@example.org, study-team@example.org,              2, Survey reminder, p0007@example.org, 2025-02-10T09:39:11Z
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , d15ee4ca-2a66-4bcc-83a5-c712441a8ed9, Reminder , 4_6M_SURVEY_REMINDER_1, p0007@example.org, study-team@example.org,              4, Survey reminder, p0007@example.org, 2025-06-22T08:39:11Z
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 77a3d621-1422-41bf-826b-2b4bac423636, Reminder , 4_6M_SURVEY_REMINDER_2, p0007@example.org, study-team@example.org,              3, Survey reminder, p0007@example.org, 2025-06-23T08:39:11Z
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , ec1fd01d-9ada-42ea-8ba3-a4e059513c60, Reminder , 7D_SURVEY_REMINDER_1  , p0008@example.org, study-team@example.org,              4, Survey reminder, p0008@example.org, 2025-12-17T21:36:07Z
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 614de62c-4a17-41c0-b023-f5c26e0d6941, Reminder , 1M_SURVEY_REMINDER_1  , p0008@example.org, study-team@example.org,              5, Survey reminder, p0008@example.org, 2026-01-09T21:36:07Z
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , b8461ab2-7e5e-4b41-be45-6d986d0bf0af, Reminder , 24H_SURVEY_REMINDER_1 , p0009@example.org, study-team@example.org,              4, Survey reminder, p0009@example.org, 2025-03-29T05:10:16Z
