ParticipantID                       , ParticipantIdentifier, MessageID                           , PhoneNumber , MessageType, OriginalLink              , ShortenedLink        , Timestamp
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 5c985be4-c5fe-4057-8127-b11684919e8c, +15550000001, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-02-24T02:21:40Z
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 4c7478dc-ff9d-4895-b4e3-5d67a3a80b43, +15550000001, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-08-06T21:31:40Z
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 11d4c372-358e-4f24-bc85-7a5d7ee971f9, +15550000004, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-08-18T14:39:00Z
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 331a77cd-ab9a-4fe8-8555-b7043ca08214, +15550000004, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-08-19T15:37:00Z
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 71cf4954-42c2-4759-bc08-76176bf863d1, +15550000007, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-02-17T13:33:41Z
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 66e9b7ed-3e80-4909-980b-0138aa06c215, +15550000007, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-05-11T15:47:41Z
6882d01f-d90c-4d57-89f1-f1bcf8663311, P0012                , ec380aca-9e47-4368-b830-817e1c65e1ac, +15550000012, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-09-08T01:56:06Z
6882d01f-d90c-4d57-89f1-f1bcf8663311, P0012                , 0c42feb7-c2dd-4e10-92e0-3f39c2c5726c, +15550000012, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-09-09T03:51:06Z
10a375d1-9c4e-420c-8d06-ea850e2a12f5, P0013                , 2890ea48-441c-405a-bf2a-d561ee25f7f3, +15550000013, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-09-04T23:57:21Z
f88e1fc2-6b27-46dd-bdfc-81333342f20a, P0020                , 0eea2bed-cbad-4d79-8f9b-e81fe655e927, +15550000020, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-11-07T11:53:51Z
f88e1fc2-6b27-46dd-bdfc-81333342f20a, P0020                , c6bd299a-f385-4a75-80a3-ebcd136d412a, +15550000020, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-11-08T12:00:51Z
cdf58739-0e9a-4822-98fe-18bbe8f12539, P0021                , 7eecfb1d-197d-4120-b166-8b583d647b0d, +15550000021, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-11-03T05:51:13Z
5d8b825e-2096-45f1-9555-18ef3bde48d6, P0022                , 87f00bcb-c94e-4ebb-ab79-03d35b676dc3, +15550000022, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-08-11T07:36:38Z
5d8b825e-2096-45f1-9555-18ef3bde48d6, P0022                , 685ee8bc-f43b-4580-9b7b-8a7153462c12, +15550000022, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-11-10T06:18:38Z
5d8b825e-2096-45f1-9555-18ef3bde48d6, P0022                , f2538a79-dd6a-4ae6-b0a2-41826de5deba, +15550000022, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-11-11T12:37:38Z
f47cb7ce-d8be-490a-bab0-93db17d4148a, P0023                , 764eec55-20a2-43e3-a787-30cb9a42934b, +15550000023, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2026-01-19T11:31:09Z
730bdf06-493d-4b85-a64e-88d3270cea5f, P0024                , bff55071-0981-494f-88e8-b6500690d6a7, +15550000024, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-11-28T00:10:37Z
bb3f171c-a669-43d8-95e6-aae323f68bc3, P0026                , ad9bd3cb-3d7f-4d64-8a85-57cb3d5580b9, +15550000026, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-06-28T21:21:12Z
25327ead-55ff-4dc6-be62-aee7404b6c4d, P0028                , 9b2c645d-40ea-4929-ba42-4b44f56941b8, +15550000028, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2025-05-08T17:27:35Z
e4bfd8bb-a560-43af-a1d8-78eb0815157e, P0029                , a5f9aed6-a57d-4888-88e1-d9f6f3ee4fd0, +15550000029, SurveyLink , https://example.org/survey, https://mdh.li/abc123, 2026-02-05T11:25:55Z
