ParticipantID                       , ParticipantIdentifier, MessageID                           , PhoneNumber , MessageType, Status   , Timestamp
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 5c985be4-c5fe-4057-8127-b11684919e8c, +15550000001, Reminder   , delivered, 2025-02-23T19:17:00Z
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 1fd57de2-39d0-43d9-bf82-918e6e23bb4a, +15550000001, Reminder   , delivered, 2025-08-05T18:17:00Z
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 4c7478dc-ff9d-4895-b4e3-5d67a3a80b43, +15550000001, Reminder   , delivered, 2025-08-06T18:17:00Z
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , beaa173e-87df-41c2-acc8-c18f7452ff5a, +15550000001, Reminder   , delivered, 2025-08-07T18:17:00Z
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 16e1b4f2-4b4a-486f-aa01-441c68d531d2, +15550000002, Reminder   , delivered, 2025-06-04T13:49:00Z
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 956352e3-78cc-4f87-8db8-955db66c9c68, +15550000003, Reminder   , delivered, 2025-07-15T15:47:30Z
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , ef8ea15f-8a0d-41bc-bb82-3a2a6509acab, +15550000003, Reminder   , delivered, 2025-07-22T15:47:30Z
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 11d4c372-358e-4f24-bc85-7a5d7ee971f9, +15550000004, Reminder   , delivered, 2025-08-18T06:32:20Z
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 331a77cd-ab9a-4fe8-8555-b7043ca08214, +15550000004, Reminder   , delivered, 2025-08-19T06:32:20Z
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 7c6c1772-c980-4d96-8747-e2af4a5603d8, +15550000004, Reminder   , delivered, 2025-08-20T06:32:20Z
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 7fab82a9-2eab-4567-b279-42b7499e6974, +15550000004, Reminder   , delivered, 2025-10-17T06:32:20Z
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 58fa2dc0-73eb-4175-b606-0a25f4f2118b, +15550000004, Reminder   , delivered, 2025-10-18T06:32:20Z
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , bd3c76f9-c907-4d5b-8d4d-60ba45a91ea6, +15550000005, Reminder   , delivered, 2025-09-16T20:19:47Z
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 9d73ce94-4135-4a4e-a724-88cbd48f44c6, +15550000005, Reminder   , delivered, 2025-09-17T20:19:47Z
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 71cf4954-42c2-4759-bc08-76176bf863d1, +15550000007, Reminder   , delivered, 2025-02-17T09:39:01Z
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , e6b71eb2-887e-4d25-bcbe-cf1266ebb4e7, +15550000007, Reminder   , delivered, 2025-03-12T08:39:01Z
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 66e9b7ed-3e80-4909-980b-0138aa06c215, +15550000007, Reminder   , delivered, 2025-05-11T08:39:01Z
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , a33a508d-6e2b-4d56-94b1-85649f063387, +15550000008, Reminder   , delivered, 2026-03-10T20:35:57Z
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 3953e84d-90ac-463b-ad9b-6a264805753a, +15550000008, Reminder   , delivered, 2026-03-11T20:35:57Z
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , de1d3b1a-82ab-4df5-b5f3-83e2469730f8, +15550000008, Reminder   , delivered, 2026-03-12T20:35:57Z
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , 06f43dff-2bf1-4fad-b98c-83a19b19f573, +15550000009, Reminder   , delivered, 2025-08-10T05:10:06Z
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , d97855c6-d515-4e4b-8383-e4e20494fa28, +15550000010, Reminder   , delivered, 2025-12-15T01:12:45Z
